school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime_mat,studytime_por,paid_mat,paid_por,activities,nursery,higher,internet,romantic,absences_por,absences_mat,G3_mat,G3_por
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,1,no,yes,yes,yes,yes,yes,no,2,16,5,7
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,1,yes,no,yes,yes,yes,yes,no,6,4,10,12
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,2,no,no,no,yes,yes,yes,no,0,0,15,14
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,1,yes,yes,no,yes,yes,yes,no,0,0,15,12
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,2,no,no,yes,yes,yes,yes,no,0,2,16,14
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,2,no,no,yes,yes,yes,yes,no,2,0,12,10
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,3,yes,no,yes,yes,yes,yes,no,2,2,8,10
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,1,yes,no,no,no,yes,yes,no,6,14,8,12
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,1,yes,no,no,yes,yes,yes,no,8,2,11,12
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,1,yes,no,no,yes,yes,yes,no,0,4,15,11
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,2,no,yes,yes,yes,yes,yes,no,2,4,11,13
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,2,yes,yes,yes,yes,yes,yes,yes,4,16,11,12
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,2,yes,yes,no,no,yes,yes,no,0,0,12,11
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,2,no,no,yes,yes,yes,yes,no,2,0,17,15
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,2,no,no,yes,yes,yes,yes,yes,0,0,16,15
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,2,no,no,yes,no,yes,yes,no,0,0,12,12
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,1,yes,no,no,no,yes,yes,no,4,0,15,12
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,1,no,no,yes,yes,yes,no,no,4,0,6,11
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,3,no,no,yes,yes,yes,yes,no,0,2,18,14
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,3,no,no,yes,yes,yes,yes,yes,4,7,15,13
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,3,yes,no,yes,yes,yes,yes,no,2,2,11,12
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,1,yes,no,yes,yes,yes,no,no,8,8,13,12
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,2,no,no,yes,no,yes,yes,yes,16,25,11,10
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,1,no,no,no,no,yes,yes,yes,8,8,12,11
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,2,no,no,yes,yes,yes,yes,no,0,2,18,15
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,1,no,no,no,yes,yes,yes,no,0,0,11,10
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,2,no,no,yes,yes,yes,yes,no,14,14,9,11
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,2,yes,yes,yes,yes,yes,yes,yes,4,8,6,11
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,2,no,no,no,yes,yes,yes,no,6,12,11,13
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,4,no,no,yes,yes,yes,yes,no,2,4,20,17
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,2,yes,no,no,yes,yes,no,no,4,2,14,13
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,2,no,no,yes,no,yes,yes,no,2,2,7,12
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,2,yes,no,no,yes,yes,yes,no,0,2,13,13
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,2,yes,no,no,yes,yes,yes,no,0,2,13,16
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,yes,yes,no,no,4,6,10,9
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,1,yes,no,no,yes,yes,yes,no,0,0,11,12
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,1,yes,no,no,yes,yes,yes,no,0,6,13,13
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,2,yes,no,yes,yes,yes,yes,yes,2,8,10,12
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,2,yes,no,yes,yes,yes,yes,no,0,0,15,15
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,2,no,no,yes,yes,yes,no,no,8,4,15,16
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,2,no,no,yes,yes,yes,yes,no,0,2,9,14
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,2,no,yes,no,yes,yes,yes,no,2,2,16,16
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,2,no,no,yes,yes,yes,no,no,0,6,11,16
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,1,no,no,yes,no,yes,yes,yes,0,6,11,16
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,2,no,no,yes,yes,yes,yes,no,0,4,9,10
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,3,yes,no,yes,yes,yes,yes,no,0,2,9,13
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,2,no,no,yes,yes,yes,yes,yes,0,0,10,12
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,2,no,no,yes,yes,yes,yes,no,2,2,15,16
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,4,no,no,yes,no,yes,yes,yes,0,4,12,12
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,4,yes,no,no,yes,yes,yes,no,0,4,6,10
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,2,yes,no,no,yes,yes,yes,no,0,2,8,11
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,4,no,no,no,no,yes,yes,no,6,12,16,15
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,4,yes,no,no,yes,yes,yes,no,2,0,15,11
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,4,no,no,no,yes,yes,yes,no,0,0,10,10
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,no,no,no,no,yes,yes,yes,2,2,5,11
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,1,no,no,yes,yes,yes,no,no,0,2,14,14
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,2,yes,no,yes,yes,yes,yes,no,4,54,11,11
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,2,yes,no,yes,yes,yes,yes,no,0,6,10,11
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,4,no,no,yes,yes,yes,yes,no,0,8,10,11
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,4,yes,no,no,yes,yes,yes,yes,1,0,11,13
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,1,no,no,yes,yes,no,yes,no,0,2,10,10
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,2,no,no,no,yes,yes,yes,no,14,12,5,11
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,1,yes,no,yes,no,yes,yes,yes,0,2,12,12
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,3,yes,no,no,no,yes,yes,no,2,4,11,9
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,2,yes,no,no,yes,yes,yes,no,4,10,6,11
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,2,yes,yes,yes,yes,yes,yes,no,2,4,15,13
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,2,no,no,yes,no,yes,yes,no,2,2,10,12
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,yes,no,no,yes,yes,yes,yes,4,6,8,12
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,2,no,no,no,yes,yes,no,no,6,4,6,11
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,3,no,no,yes,yes,yes,yes,no,4,4,14,15
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,2,yes,no,yes,no,yes,yes,no,6,12,10,11
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,2,no,no,no,yes,yes,no,no,6,18,7,10
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,3,yes,no,no,yes,yes,yes,yes,2,0,8,11
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,1,yes,no,yes,yes,yes,yes,no,6,4,18,13
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,2,no,no,no,yes,yes,no,no,0,4,6,12
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,2,yes,no,yes,yes,yes,yes,no,2,0,10,14
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,4,no,no,yes,yes,yes,yes,no,2,6,14,12
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,4,yes,yes,yes,yes,yes,yes,no,4,2,10,13
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,1,no,yes,yes,no,yes,yes,no,6,2,15,11
GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,2,yes,no,no,yes,yes,no,yes,0,2,10,12
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,1,no,no,yes,no,yes,yes,no,4,6,14,13
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,3,yes,no,no,yes,yes,yes,no,2,0,8,13
GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,1,yes,no,yes,yes,yes,yes,no,12,14,5,8
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,3,no,no,yes,yes,yes,yes,yes,0,0,17,16
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,1,no,yes,yes,no,yes,yes,no,2,4,14,12
GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,2,yes,no,no,yes,yes,yes,no,16,26,6,10
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,2,yes,no,yes,yes,yes,yes,no,0,0,18,16
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,4,no,no,no,yes,yes,no,no,10,10,11,10
GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,4,yes,no,no,yes,yes,yes,no,4,8,8,10
GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,3,no,no,yes,yes,yes,yes,no,4,2,18,14
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,4,yes,no,yes,yes,yes,yes,yes,8,6,13,11
GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,3,yes,no,yes,yes,yes,yes,yes,2,4,16,14
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,1,no,no,yes,yes,yes,yes,no,4,6,19,14
GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,3,no,no,yes,yes,yes,yes,no,4,0,10,11
GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,2,no,no,yes,yes,yes,yes,no,12,6,13,10
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,1,no,no,no,yes,yes,yes,no,10,10,19,18
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,2,no,no,yes,yes,yes,yes,yes,4,8,9,10
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,2,no,no,yes,yes,yes,yes,no,6,2,16,14
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,2,no,no,yes,yes,yes,no,no,4,2,14,16
GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,1,no,no,yes,yes,yes,yes,no,6,0,13,15
GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,2,no,no,yes,yes,yes,yes,no,14,20,8,11
GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,1,no,no,no,yes,yes,yes,no,2,6,13,14
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,2,no,no,no,no,yes,yes,no,0,2,15,14
GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,4,yes,no,yes,yes,yes,yes,no,6,6,15,13
GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,2,yes,no,yes,yes,yes,yes,yes,2,2,13,13
GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,1,no,no,yes,yes,yes,yes,no,4,18,13,13
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,2,yes,no,no,yes,yes,yes,yes,0,0,8,11
GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,1,no,no,no,yes,yes,yes,no,2,0,12,9
GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,2,no,no,yes,yes,yes,yes,yes,0,0,11,11
GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,2,no,no,no,no,no,no,no,0,2,9,11
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,1,yes,no,yes,yes,yes,yes,no,8,8,18,15
GP,F,15,R,GT3,T,3,4,services,teacher,course,father,2,3,3,no,no,no,yes,yes,yes,yes,0,0,0,12
GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,1,no,no,yes,no,yes,yes,yes,6,0,0,13
GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,1,no,no,no,yes,yes,yes,yes,2,12,12,12
GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,1,no,no,no,yes,yes,yes,no,12,16,11,14
GP,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,2,no,no,no,yes,yes,no,yes,2,0,0,11
GP,F,15,U,GT3,T,4,4,services,at_home,course,mother,1,3,3,no,no,yes,yes,yes,yes,yes,4,0,0,15
GP,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,2,no,no,no,yes,yes,no,no,2,0,0,10
GP,F,16,U,GT3,A,3,3,other,other,course,other,2,1,1,no,no,yes,no,yes,yes,yes,4,0,0,10
GP,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,2,no,no,no,yes,yes,no,yes,0,0,12,10
GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,1,no,no,yes,yes,yes,yes,no,6,0,15,14
GP,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,4,no,no,no,yes,yes,yes,no,6,0,0,11
GP,M,16,U,LE3,T,2,2,services,services,reputation,father,2,1,1,no,no,yes,yes,yes,yes,no,4,8,9,11
GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,3,yes,no,yes,yes,yes,yes,no,2,2,11,13
GP,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,1,no,no,no,yes,yes,yes,no,4,2,13,11
GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,1,no,no,no,yes,yes,yes,no,22,0,0,6
GP,F,15,U,GT3,T,1,1,other,services,course,father,1,2,2,yes,no,no,yes,yes,yes,no,0,0,11,12
GP,F,15,U,GT3,T,3,2,health,services,home,father,1,2,2,no,no,no,yes,yes,yes,no,2,0,0,11
GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,2,yes,no,no,no,yes,yes,no,6,2,11,13
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,1,no,no,no,yes,no,yes,yes,16,0,0,8
GP,M,15,U,LE3,A,2,1,services,other,course,mother,4,1,1,no,no,no,yes,yes,yes,no,0,0,10,11
GP,M,18,U,LE3,T,1,1,other,other,course,mother,1,1,1,no,no,no,yes,no,yes,yes,0,0,0,0
GP,M,16,U,LE3,T,2,1,at_home,other,course,mother,1,1,1,no,no,yes,yes,yes,no,yes,6,6,14,10
GP,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,3,yes,yes,yes,yes,yes,yes,yes,2,8,10,13
GP,M,19,U,GT3,T,3,2,services,at_home,home,mother,1,1,1,no,no,no,yes,no,yes,yes,6,0,0,11
GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,1,no,no,no,yes,yes,no,yes,0,0,12,13
GP,M,15,R,GT3,T,2,3,at_home,services,course,mother,1,2,2,yes,yes,yes,yes,yes,no,no,0,2,8,8
GP,M,17,R,LE3,T,1,2,other,other,reputation,mother,1,1,1,no,no,no,yes,yes,no,no,14,8,13,10
GP,F,18,R,GT3,T,1,1,at_home,other,course,mother,3,1,1,no,no,yes,no,yes,no,no,6,6,10,11
GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,1,no,no,no,no,yes,no,no,4,2,15,11
GP,M,16,U,GT3,T,3,3,other,services,course,father,1,2,2,yes,no,no,yes,yes,yes,yes,0,4,12,1
GP,M,17,R,LE3,T,2,1,at_home,other,course,mother,2,1,1,no,yes,yes,yes,no,yes,yes,8,0,0,9
GP,M,17,R,LE3,T,1,1,other,services,course,mother,4,2,2,no,no,yes,yes,no,no,yes,0,0,7,8
GP,M,16,U,GT3,T,2,2,other,other,course,father,1,2,2,no,no,no,yes,no,yes,no,0,4,10,11
GP,F,16,U,GT3,T,4,2,health,services,home,father,1,2,2,yes,no,no,yes,yes,yes,yes,0,0,16,18
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,2,yes,no,no,no,yes,yes,no,0,0,0,13
GP,F,16,U,GT3,T,4,4,health,health,reputation,mother,1,2,2,yes,no,no,yes,yes,yes,yes,0,0,14,17
GP,M,16,U,GT3,T,3,4,other,other,course,father,3,1,1,no,no,yes,no,yes,yes,no,4,0,0,10
GP,M,16,U,GT3,T,1,0,other,other,reputation,mother,2,2,2,yes,no,yes,yes,yes,yes,yes,0,2,16,18
GP,M,17,U,LE3,T,4,4,teacher,other,reputation,mother,1,2,2,yes,no,yes,yes,yes,yes,no,0,0,10,10
GP,F,16,U,GT3,T,1,3,at_home,services,home,mother,1,2,2,no,no,yes,no,yes,yes,yes,0,0,0,13
GP,F,16,U,LE3,T,3,3,other,other,reputation,mother,2,2,2,yes,no,yes,yes,yes,yes,no,0,4,9,15
GP,M,17,U,LE3,T,4,3,teacher,other,course,mother,2,2,2,yes,no,yes,yes,yes,yes,no,0,4,9,11
GP,F,16,U,GT3,T,2,2,services,other,reputation,mother,2,2,2,yes,no,yes,no,yes,yes,no,0,2,11,14
GP,M,17,U,GT3,T,3,3,other,other,reputation,father,1,2,2,no,no,yes,no,yes,yes,no,4,4,6,10
GP,M,16,R,GT3,T,4,2,teacher,services,other,mother,1,1,1,no,no,yes,yes,yes,yes,yes,8,10,9,11
GP,M,17,U,GT3,T,4,3,other,other,course,mother,1,2,2,no,yes,yes,yes,yes,yes,yes,4,4,11,13
GP,M,16,U,GT3,T,4,3,teacher,other,home,mother,1,2,2,yes,yes,yes,yes,yes,yes,no,4,10,8,11
GP,M,16,U,GT3,T,3,3,services,other,home,mother,1,2,2,yes,no,yes,yes,yes,yes,yes,0,2,12,13
GP,F,17,U,GT3,T,2,4,services,services,reputation,father,1,2,2,no,no,yes,yes,yes,no,no,0,0,17,17
GP,F,17,U,LE3,T,3,3,other,other,reputation,mother,1,2,2,no,no,yes,yes,yes,yes,yes,32,56,8,14
GP,F,16,U,GT3,T,3,2,other,other,reputation,mother,1,2,2,yes,no,no,yes,yes,yes,no,8,14,12,16
GP,M,17,U,GT3,T,3,3,services,services,other,mother,1,2,2,no,no,yes,yes,yes,yes,yes,6,12,11,14
GP,M,16,U,GT3,T,1,2,services,services,other,mother,1,1,1,yes,no,yes,yes,yes,yes,yes,0,2,11,11
GP,M,16,U,LE3,T,2,1,other,other,course,mother,1,2,2,yes,no,yes,yes,yes,yes,yes,0,0,15,16
GP,F,17,U,GT3,A,3,3,health,other,reputation,mother,1,2,2,no,no,no,no,yes,yes,yes,10,6,9,14
GP,M,17,R,GT3,T,1,2,at_home,other,home,mother,1,2,2,no,no,no,yes,yes,no,no,6,4,10,10
GP,F,16,U,GT3,T,2,3,services,services,course,mother,1,2,2,no,no,no,yes,yes,yes,no,6,10,13,13
GP,F,17,U,GT3,T,1,1,at_home,services,course,mother,1,2,2,no,no,yes,yes,yes,yes,no,0,0,9,12
GP,M,17,U,GT3,T,1,2,at_home,services,other,other,2,2,2,yes,no,yes,no,yes,yes,no,16,12,8,12
GP,M,16,R,GT3,T,3,3,services,services,reputation,mother,1,1,1,no,no,yes,yes,yes,yes,no,0,8,10,10
GP,M,16,U,GT3,T,2,3,other,other,home,father,2,1,1,no,no,no,yes,yes,yes,no,0,0,14,12
GP,F,17,U,LE3,T,2,4,services,services,course,father,1,2,2,no,no,yes,yes,yes,yes,yes,8,0,15,16
GP,M,17,U,GT3,T,4,4,services,teacher,home,mother,1,1,1,no,no,no,yes,yes,yes,no,4,4,16,14
GP,M,16,R,LE3,T,3,3,teacher,other,home,father,3,1,1,yes,no,yes,yes,yes,yes,no,16,8,10,12
GP,F,17,U,GT3,T,4,4,services,teacher,home,mother,2,1,1,no,no,no,yes,yes,yes,no,30,24,18,16
GP,F,16,U,LE3,T,4,4,teacher,teacher,reputation,mother,1,2,2,yes,no,no,yes,yes,yes,no,0,0,10,11
GP,F,16,U,GT3,T,4,3,health,other,home,mother,1,2,2,no,no,yes,yes,yes,yes,no,2,2,16,15
GP,F,16,U,GT3,T,2,3,other,other,reputation,mother,1,2,2,yes,no,yes,yes,yes,no,no,4,6,10,12
GP,F,17,U,GT3,T,1,1,other,other,course,mother,1,2,2,yes,no,no,no,yes,no,no,0,4,10,15
GP,F,17,R,GT3,T,2,2,other,other,reputation,mother,1,1,1,no,no,no,yes,yes,yes,no,21,18,6,13
GP,F,16,R,GT3,T,2,2,services,services,reputation,mother,2,4,4,yes,no,yes,no,yes,yes,no,6,6,11,13
GP,F,17,U,GT3,T,3,4,at_home,services,home,mother,1,3,3,yes,yes,no,yes,yes,yes,yes,14,28,9,8
GP,F,16,U,GT3,A,3,1,services,other,course,mother,1,2,2,yes,no,no,yes,yes,yes,no,2,5,7,12
GP,F,16,U,GT3,T,4,3,teacher,other,other,mother,1,2,2,yes,no,yes,yes,yes,yes,yes,4,10,13,15
GP,F,16,U,GT3,T,1,1,at_home,other,home,mother,2,1,1,yes,no,no,yes,yes,no,no,2,6,10,13
GP,F,17,R,GT3,T,4,3,teacher,other,reputation,mother,2,3,3,yes,no,yes,yes,yes,yes,yes,0,6,7,12
GP,F,19,U,GT3,T,3,3,other,other,reputation,other,1,4,4,yes,no,yes,yes,yes,yes,no,4,10,8,12
GP,M,17,U,LE3,T,4,4,services,other,home,mother,1,2,2,yes,no,no,yes,yes,yes,yes,15,13,13,12
GP,F,16,U,GT3,A,2,2,other,other,reputation,mother,1,2,2,yes,no,no,yes,yes,yes,no,0,0,14,13
GP,M,18,U,GT3,T,2,2,services,other,home,mother,1,2,2,yes,no,yes,yes,yes,yes,no,10,15,8,11
GP,F,17,R,LE3,T,4,4,services,other,other,mother,1,1,1,yes,no,no,yes,yes,no,no,6,12,10,11
GP,F,17,U,LE3,T,3,2,other,other,reputation,mother,2,2,2,yes,no,no,yes,yes,yes,no,2,2,15,15
GP,F,17,U,GT3,T,4,3,other,other,reputation,mother,1,2,2,yes,no,no,yes,yes,yes,yes,16,22,4,10
GP,M,18,U,LE3,T,3,3,services,health,home,father,1,2,2,yes,no,no,yes,yes,yes,no,10,13,8,10
GP,F,17,U,GT3,T,2,3,at_home,other,home,father,2,1,1,yes,no,no,yes,yes,no,no,4,3,8,13
GP,F,17,U,GT3,T,2,2,at_home,at_home,course,mother,1,3,3,yes,no,yes,yes,yes,yes,no,0,4,10,13
GP,F,17,R,GT3,T,2,1,at_home,services,reputation,mother,2,2,2,no,no,yes,yes,yes,yes,no,0,2,6,11
GP,F,17,U,GT3,T,1,1,at_home,other,reputation,mother,1,3,3,no,no,yes,yes,yes,no,yes,12,0,0,12
GP,F,16,U,GT3,T,2,3,services,teacher,other,mother,1,2,2,no,no,no,yes,yes,yes,no,0,2,17,14
GP,M,18,U,GT3,T,2,2,other,other,home,mother,2,2,2,yes,yes,no,yes,yes,yes,no,9,0,13,10
GP,F,16,U,GT3,T,4,4,teacher,services,home,mother,1,3,3,no,no,yes,no,yes,yes,no,4,0,14,16
GP,F,18,R,GT3,T,3,1,other,other,reputation,mother,1,2,2,no,no,yes,yes,yes,yes,yes,4,16,7,8
GP,F,17,U,GT3,T,3,2,other,other,course,mother,1,2,2,no,no,yes,no,yes,yes,no,2,10,15,17
GP,M,17,U,LE3,T,2,3,services,services,reputation,father,1,2,2,yes,no,no,no,yes,yes,no,0,2,12,11
GP,M,18,U,LE3,T,2,1,at_home,other,course,mother,4,2,2,yes,no,yes,yes,yes,yes,yes,2,14,9,11
GP,F,17,U,GT3,A,2,1,other,other,course,mother,2,3,3,no,no,yes,yes,yes,yes,yes,0,10,12,16
